CELL_ID,PATH_ID,PATH_DIST,CELL_TWI,NDVI_SEP,NDVI_OCT,NDVI_NOV,NDVI_DEC
491,4,69.74,4.9250,0.6244,0.3331,0.5159,0.3438
492,4,75.61,4.6962,0.6130,0.3164,0.4996,0.3225
493,4,81.31,4.4297,0.6632,0.3786,0.5337,0.3508
494,3,77.82,4.7685,0.6776,0.3536,0.5309,0.3426
495,3,82.04,5.3017,0.7252,0.3204,0.4740,0.2937
496,3,99.65,6.0582,0.7080,0.2837,0.3871,0.2310
497,3,113.95,5.5948,0.6932,0.3334,0.4954,0.3080
498,3,145.79,5.4501,0.6258,0.3164,0.5071,0.3361
499,3,185.81,5.8374,0.6326,0.3836,0.5274,0.3663
500,3,226.65,4.8520,0.6346,0.4452,0.5061,0.2820
501,3,263.40,3.7735,0.6346,0.4452,0.5061,0.2820
515,4,86.94,4.6487,0.5608,0.3139,0.4485,0.3029
516,4,104.43,4.6115,0.5947,0.3488,0.4813,0.3169
517,4,113.93,5.7203,0.6682,0.3829,0.4998,0.3223
518,4,116.04,5.6080,0.7198,0.3865,0.5596,0.3505
519,4,115.31,4.6709,0.6939,0.3772,0.4793,0.2696
520,4,141.67,4.5864,0.7115,0.3385,0.3958,0.1487
521,3,139.93,5.4428,0.7123,0.3085,0.4355,0.1869
522,3,142.56,4.9027,0.6847,0.2662,0.4389,0.2367
523,3,147.20,5.8993,0.7131,0.2990,0.4870,0.2386
524,3,159.05,5.5035,0.6743,0.3875,0.5187,0.3339
525,3,183.25,5.6802,0.6415,0.3428,0.5036,0.3354
526,3,216.45,5.7042,0.6223,0.3542,0.5217,0.3693
527,3,255.19,5.8322,0.6468,0.3785,0.5385,0.3584
528,3,288.60,4.2387,0.6225,0.3507,0.5190,0.3351
543,4,138.18,3.6900,0.7447,0.3332,0.4736,0.2553
544,4,142.11,3.1375,0.7447,0.3332,0.4736,0.2553
546,4,177.45,6.6201,0.7169,0.3133,0.3714,0.1424
547,4,180.67,6.3496,0.7084,0.3206,0.4258,0.1826
548,3,186.32,6.2704,0.7062,0.3264,0.4175,0.1995
549,3,192.20,5.5521,0.7078,0.3421,0.4246,0.2191
550,3,197.09,6.4170,0.7230,0.3721,0.4798,0.2787
551,3,206.09,5.3998,0.6725,0.4121,0.5004,0.3221
552,3,225.62,5.0880,0.6375,0.4042,0.5352,0.3536
553,3,253.33,4.9570,0.6206,0.3675,0.5462,0.3987
554,3,287.13,5.5901,0.6412,0.3703,0.5578,0.4022
555,3,324.93,5.4193,0.6163,0.3698,0.5281,0.3617
556,3,369.35,4.7576,0.6239,0.4458,0.5559,0.3827
557,3,404.20,3.5037,0.6253,0.4575,0.5715,0.3736
573,4,227.92,6.1892,0.6944,0.3089,0.3468,0.2093
574,4,230.35,7.2563,0.6513,0.3331,0.3954,0.2127
575,3,236.00,6.7462,0.6196,0.3200,0.3659,0.1887
576,3,241.84,5.2073,0.6820,0.3482,0.4539,0.2791
577,3,247.03,5.5111,0.6696,0.3851,0.5021,0.3319
578,3,254.27,5.2033,0.6517,0.3949,0.4968,0.3428
579,3,270.61,4.5471,0.6389,0.4044,0.5733,0.3981
580,3,294.11,5.1081,0.6348,0.3731,0.5505,0.3810
581,3,323.68,5.3011,0.6431,0.3895,0.5779,0.3978
582,3,357.83,5.9608,0.6232,0.4037,0.5554,0.3891
583,3,395.36,5.5440,0.6413,0.4502,0.5811,0.4270
584,3,433.11,5.1533,0.6326,0.4357,0.5305,0.3862
585,3,467.28,5.5864,0.5827,0.3718,0.4612,0.3191
600,4,264.58,4.9484,0.5620,0.2648,0.3632,0.2621
601,4,279.67,5.2081,0.6228,0.3333,0.4087,0.2711
602,3,285.67,4.6966,0.6238,0.3694,0.4604,0.3168
603,3,291.48,5.5194,0.6419,0.4602,0.5074,0.3267
604,3,296.98,4.5747,0.5913,0.4385,0.5136,0.3445
605,3,303.03,4.8029,0.6085,0.3937,0.4577,0.3054
606,3,316.95,4.9737,0.6288,0.3943,0.5089,0.3403
607,3,334.95,5.0301,0.6038,0.3552,0.5378,0.3930
608,3,355.88,6.0505,0.6460,0.3520,0.5519,0.3850
609,3,381.92,6.0444,0.6107,0.3580,0.5675,0.4306
610,3,410.56,4.5853,0.5863,0.3608,0.5350,0.4082
611,3,433.51,2.3515,0.5863,0.3608,0.5350,0.4082
628,4,318.02,4.8445,0.4564,0.2516,0.3668,0.2765
629,3,334.49,4.9764,0.5504,0.4109,0.4573,0.3211
630,3,339.34,4.9256,0.5903,0.5420,0.5009,0.3656
631,3,338.91,5.3362,0.5884,0.5404,0.4913,0.3446
632,3,337.40,5.2838,0.5833,0.4991,0.4751,0.3329
633,3,342.81,5.2228,0.5925,0.4715,0.4878,0.3620
634,3,350.77,2.9338,0.5925,0.4715,0.4878,0.3620
656,3,364.57,4.8094,0.3693,0.3406,0.3148,0.2479
657,3,364.73,6.3647,0.3693,0.3406,0.3148,0.2479
